"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"41",4,"Ladd McConkey",LAC,"WR19","7","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+3"
"42",4,"Javonte Williams",DAL,"RB17","14","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-10"
"43",4,"Emeka Egbuka",TB,"WR20","10","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-6"
"44",4,"Joe Burrow",CIN,"QB4","6","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+5"
"45",4,"Travis Etienne Jr.",NO,"RB18","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-12"
"46",4,"Jaylen Waddle",DEN,"WR21","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+5"
"47",4,"Terry McLaurin",WAS,"WR22","7","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+9"
"48",4,"Luther Burden III",CHI,"WR23","10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-3"
"49",5,"Davante Adams",LAR,"WR24","11","Coach Upside rating","Coach Bust rating","1 out of 5 stars","+3"
"50",5,"Jameson Williams",DET,"WR25","6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+9"
"51",5,"Cam Skattebo",NYG,"RB19","8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-11"
"52",5,"Mike Evans",SF,"WR26","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+5"
"53",5,"Bucky Irving",TB,"RB20","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+5"
"54",5,"Quinshon Judkins",CLE,"RB21","11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-7"
"55",5,"Christian Watson",GB,"WR27","11","Coach Upside rating","Coach Bust rating","5 out of 5 stars","+9"
"56",5,"D'Andre Swift",CHI,"RB22","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-3"
"57",5,"TreVeyon Henderson",NE,"RB23","11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-3"
"58",5,"Jayden Daniels",WAS,"QB5","7","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+3"
